"plotID","Fire_Severity_plotAverge","plotNum"
32,2,28
50,3,40
1,0,1
4,1,4
5,3,5
14,3,14
15,3,15
16,1,16
17,3,17
18,1,18
19,2,19
21,2,20
24,1,21
25,2,22
26,3,23
29,3,25
30,3,26
31,3,27
34,2,29
37,3,32
43,2,35
44,3,36
55,1,42
57,3,44
58,1,45
59,2,46
64,3,49
65,3,50
67,1,51
70,1,53
71,1,54
72,2,55
73,1,56
74,1,57
75,1,58
2,0,2
3,0,3
6,1,6
7,0,7
8,2,8
9,0,9
10,0,10
11,0,11
12,0,12
13,3,13
28,0,24
35,0,30
36,0,31
39,0,33
41,0,34
45,0,37
48,0,38
49,0,39
54,0,41
56,0,43
60,2,47
61,0,48
68,2,52
76,1,59
